Id;año_nacimiento;año_grado;años_estudio;edad_grado;sexo;estado_procedencia;prom_general;prom_ponderado
247;1980;2008;10;29;F;Trujillo;9,371;9,347
248;1980;2004;6;24;M;Mérida;16,14;16,36
249;1977;2009;5;32;M;Mérida;13,071;13,452
250;1978;2009;5;31;M;Mérida;12,333;12,286
251;1978;2004;10;27;M;Mérida;10,64;10,86
252;1979;2009;5;30;M;Mérida;11,885;12,159
253;1980;2009;5;29;F;Mérida;12,756;12,718
254;1978;2009;5;31;F;Mérida;12,905;13,616
255;1983;2009;5;26;M;Trujillo;12,255;12,25
256;1984;2009;8;25;F;Trujillo;12,186;12,373
257;1985;2008;7;24;F;Apure;13,674;13,985
258;1984;2009;5;25;F;Trujillo;12,652;12,977
259;1983;2009;8;26;M;Mérida;14,349;14,541
260;1982;2009;9;27;F;Mérida;13,271;13,478
261;1983;2009;9;26;F;Trujillo;10,867;11,042
262;1971;2009;21;38;M;Mérida;12,26;12,43
263;1977;2009;8;32;M;Táchira;12,468;12,77
264;1976;2009;14;34;F;Trujillo;9,742;9,32
265;1982;2008;9;26;F;Trujillo;12,956;13,322
266;1980;2009;5;29;M;Mérida;15,595;15,584
267;1981;2009;12;28;F;Trujillo;11,037;11,247
268;1981;2009;5;29;M;Mérida;14,049;14,105
269;1981;2009;5;29;M;Mérida;15,548;15,905
270;1982;2009;8;27;M;Trujillo;12,578;12,861
271;1979;2008;10;29;F;Carabobo;11,214;11,383
272;1981;2004;6;23;F;Mérida;13,67;13,72
273;1981;2005;6;24;M;Mérida;14,2;14,41
274;1983;2009;7;27;F;Distrito Capital;12,239;12,493
275;1982;2009;10;27;F;Trujillo;13,356;13,667
276;1981;2004;7;23;F;Distrito Capital;13,88;14,24
277;1982;2009;10;27;M;Apure;11,291;11,564
278;1982;2008;9;26;F;Mérida;11,94;12,129
279;1981;2009;11;28;F;Aragua;10,169;10,429
280;1984;2009;9;26;F;Mérida;11,444;11,881
281;1981;2008;8;27;F;Mérida;13,932;13,981
282;1984;2009;9;26;M;Zulia;12,102;12,15
283;1982;2009;10;27;F;Anzoategui;12,978;13,123
284;1983;2008;8;25;F;Trujillo;11,714;11,944
285;1983;2009;7;26;M;Barinas;13,364;13,578
286;1984;2009;9;26;M;Mérida;16,357;16,41
287;1985;2008;6;23;F;Trujillo;17,381;17,616
288;1985;2009;7;25;F;Mérida;12,848;12,967
289;1981;2009;9;28;M;Mérida;14,628;14,805
290;1985;2009;7;24;F;Mérida;13,02;13,084
291;1985;2009;8;25;F;Portuguesa;12,894;13,155
292;1984;2009;9;25;F;Apure;11,056;11,332
293;1986;2009;4;23;F;Trujillo;15,744;15,871
294;1984;2008;7;24;F;Mérida;16;16,126
295;1985;2009;7;25;F;Zulia;14,512;14,592
296;1984;2009;7;25;F;Táchira;14,614;14,701
297;1983;2009;6;26;M;Trujillo;13,688;13,868
298;1985;2009;4;24;M;Trujillo;14,907;14,98
299;1984;2009;8;25;F;Portuguesa;14,6;14,883
300;1985;2009;6;23;F;Mérida;13,13;13,392
301;1985;2009;7;24;F;Sucre;16,814;16,975
302;1985;2009;7;24;M;Mérida;14,977;15,281
303;1982;2008;7;26;M;Trujillo;14,762;14,939
304;1985;2009;5;25;M;Mérida;14,5;14,833
305;1985;2009;7;24;M;Mérida;14,286;14,47
306;1982;2009;8;27;F;Trujillo;12,022;12,395
307;1984;2009;8;25;F;Mérida;12,551;12,597
308;1986;2009;5;24;F;Louisiana;13,512;13,886
309;1986;2009;6;23;F;Carabobo;16,14;16,181
310;1981;2009;10;28;M;Mérida;10,237;10,273
311;1984;2009;7;26;M;Mérida;13,578;13,776
312;1982;2009;8;27;M;Trujillo;10,897;11,033
313;1980;2009;10;29;M;Anzoategui;8,984;9,141
314;1985;2009;7;25;M;Zulia;13,444;13,668
315;1986;2009;6;24;M;Bolívar;17,488;17,653
316;1982;2009;10;28;M;Falcón;12,979;13,491
317;1984;2009;8;25;M;Zulia;12,413;12,596
318;1984;2009;9;26;M;Mérida;12,667;12,833
319;1981;2009;11;29;M;Miranda;10,583;10,851
320;1985;2009;7;25;M;Distrito Capital;14,911;15,101
321;1980;2009;6;29;M;Zulia;13,419;13,738
322;1987;2009;6;23;M;Mérida;14,326;14,594
323;1981;2009;11;29;F;Mérida;11,517;11,799
324;1981;2009;11;29;M;Yaracuy;10,156;10,392
325;1981;2009;10;28;M;Mérida;11,614;11,664
326;1983;2009;9;27;M;Mérida;14,4;14,51
327;1984;2009;7;26;M;Mérida;12,894;13,142
328;1983;2009;7;26;M;Mérida;13,116;13,228
329;1985;2009;6;24;M;Barinas;13,614;13,894
330;1986;2009;6;24;M;Mérida;15,364;15,554
331;1985;2009;7;24;M;Miranda;16;16,221
332;1986;2009;7;24;M;Portuguesa;14,111;14,44
333;1986;2009;6;23;F;Aragua;12,884;12,96
334;1985;2009;8;25;F;Mérida;13,711;13,803
335;1985;2009;5;25;F;Trujillo;12,6;12,933
336;1986;2009;6;24;M;Mérida;15,907;15,939
337;1981;2006;8;25;F;Trujillo;11,604;12,004
338;1963;2002;20;39;M;Táchira;7,7;7,75
339;1983;2010;9;27;M;Táchira;11,182;11,585
340;1983;2010;8;27;F;Mérida;12,367;12,536
341;1983;2010;9;27;M;Aragua;11,827;11,972
342;1982;2010;8;28;M;Trujillo;10,855;11,047
343;1984;2010;8;26;M;Trujillo;12,465;12,808
344;1984;2010;7;26;M;Mérida;12,267;12,465
345;1981;2010;12;29;M;Trujillo;11,423;11,732
346;1986;2010;6;23;F;Mérida;16,07;16,156
347;1980;2010;12;30;F;Trujillo;10,017;10,349
348;1980;2007;9;27;F;Trujillo;11;11,337
349;1984;2010;9;26;M;Sucre;10,648;10,815
350;1986;2010;6;23;F;Mérida;16,5;16,758
351;1983;2010;9;27;F;Mérida;11,054;11,208
352;1984;2010;8;26;F;Lara;11,563;11,875
353;1984;2010;7;26;F;Mérida;11,938;12,276
354;1983;2010;8;27;M;Mérida;12,681;12,877
355;1984;2010;9;26;F;Mérida;11;11,203
356;1986;2010;7;24;M;Trujillo;12,913;13,078
357;1984;2010;7;26;M;Mérida;13,34;13,589
358;1982;2010;11;28;M;Portuguesa;9,926;10,271
359;1984;2010;8;26;F;Zulia;11,32;11,521
360;1986;2010;6;24;M;Monagas;17,857;17,919
361;1985;2010;8;25;M;Mérida;12,708;12,439
362;1984;2010;8;26;F;Mérida;12,521;12,813
363;1986;2010;6;24;F;Mérida;12,915;12,995
364;1980;2010;12;30;M;Mérida;10,385;10,327
365;1983;2010;9;27;M;Mérida;11,755;11,81
366;1984;2010;8;26;M;Mérida;11,415;11,605
367;1985;2010;7;25;F;Mérida;14,326;14,614
368;1986;2010;6;24;F;Mérida;16,326;16,457
369;1986;2010;6;24;M;Mérida;13,933;14,081
370;1977;2010;11;33;M;Distrito Capital;11,436;11,567
371;1986;2010;6;24;M;Nueva Esparta;14,886;15,125
372;1986;2010;6;24;F;Bolívar;13,045;13,275
373;1977;2010;6;33;M;Trujillo;8,743;8,823
374;1962;2010;13;48;F;Carabobo;11,833;12,087
375;1982;2010;11;28;M;Apure;10,316;10,568
376;1987;2010;7;23;M;Mérida;13,191;13,349
377;1982;2010;10;28;M;Mérida;11,02;11,099
378;1985;2010;8;25;M;Trujillo;12;12,292
379;1984;2010;6;26;M;Táchira;12,391;12,583
380;1983;2010;8;28;F;Trujillo;11,556;11,372
381;1988;2010;5;22;M;Trujillo;15,227;15,432
382;1984;2011;9;27;F;Mérida;11,352;11,514
383;1986;2011;8;25;F;Miranda;12,796;13,261
384;1981;2011;12;30;F;Táchira;10,855;10,97
385;1984;2011;8;26;F;Mérida;12,723;12,928
386;1978;2011;11;33;F;Trujillo;9,883;10,111
387;1984;2011;9;27;F;Trujillo;11,404;11,465
388;1986;2011;7;25;F;Mérida;14,167;14,419
389;1986;2011;8;25;F;Mérida;12,756;12,878
390;1985;2011;8;26;M;Trujillo;12,5;12,669
391;1983;2011;9;28;M;Mérida;11,706;12,025
392;1983;2011;9;27;F;Mérida;11,673;11,958
393;1984;2011;9;27;F;Mérida;11,377;11,71
394;1984;2011;10;26;F;Mérida;11,558;11,869
395;1986;2011;8;25;M;Trujillo;17,256;17,443
396;1981;2011;7;30;F;Trujillo;11,571;11,828
397;1983;2011;10;28;F;Mérida;11,231;11,408
398;1979;2011;14;32;M;Táchira;11,053;11,185
